Example ID,Suffix Guess
2685,"[43031,19146,7473,15529,42242,11,3268,17931,23988,11,19387,25256,1847,11,38846,11,7788,3620,6489,13153,11,6375,198,1635,7102,5188,10917,3525,12576,29506,25552,357,1268,39149,2751,11,21728,5626,40880,5390,11,41755,11335,10979,3963,28932,2257,2043,37780,21090]"
3728,"[5320,5,77,24145,26,3556,12626,12240,6888,1159,29,198,27,2213,29,198,27,400,1398,2625,4033,5962,1,8354,2625,4033,5320,5841,7483,290,5994,3556,400,29,198,27,400,1398,2625,4033,5956,1,8354,2625,4033,5320,17410,290,12489,3556]"
9627,"[26,3556,12626,12240,6888,1159,29,198,27,2213,29,198,27,400,1398,2625,4033,5962,1,8354,2625,4033,5320,5841,7483,290,5994,3556,400,29,198,27,400,1398,2625,4033,5956,1,8354,2625,4033,5320,17410,290,12489,3556,400,29,198,3556]"
1530,"[70,11,81,11,64,11,76,19953,72,17816,11708,37702,14094,10267,20520,28,81,26,72,58,81,22241,72,58,81,60,15886,8818,39893,198,7,72,58,81,4083,80,28,72,58,81,4083,80,15886,21737,737,14689,7,853,2886,8]"
6062,"[12915,5320,5,77,24145,26,3556,12626,12240,6888,1159,29,198,27,2213,29,198,27,400,1398,2625,4033,5962,1,8354,2625,4033,5320,5841,7483,290,5994,3556,400,29,198,27,400,1398,2625,4033,5956,1,8354,2625,4033,5320,17410,290,12489]"
9516,"[15,1,2685,39231,2625,18,1,2685,2777,4092,2625,15,1,10638,2625,45,7287,5016,21293,3084,11,13487,28376,6097,11,290,281,7468,5320,198,27,6888,1159,6927,12626,29,45,7287,38884,3556,12626,6927,12626,1398,2625,8658,12915,5320,5,77]"
9480,"[15529,42242,11,3268,17931,23988,11,19387,25256,1847,11,38846,11,7788,3620,6489,13153,11,6375,7102,5188,10917,3525,12576,29506,25552,198,1635,357,1268,39149,2751,11,21728,5626,40880,5390,11,41755,11335,10979,3963,28932,2257,2043,37780,21090,50,6375,49254]"
5694,"[13487,5050,11,290,281,7468,5320,198,27,6888,1159,6927,12626,4686,2625,83,15,1,1398,2625,5275,10962,33349,22039,12626,29,3237,25458,3556,12626,6927,12626,1398,2625,8658,12915,5320,5,77,24145,26,3556,12626,12240,12626,6927,12626,4686,2625,83]"
9566,"[286,4946,6080,2390,13,628,220,220,220,4946,6080,2390,318,1479,3788,25,345,460,17678,4163,340,290,14,273,13096,340,198,220,220,220,739,262,2846,286,262,22961,3611,5094,13789,355,3199,416,198,220,220,220,262,3232,10442,5693]"
2309,"[5320,198,27,28112,220,220,14610,198,3556,64,29,198,27,7146,1398,2625,48267,30575,22039,64,13291,25698,48267,13,28341,5657,13,22487,1,3670,2625,50232,16408,6117,5320,50232,16408,6117,3556,64,12240,7146,29,198,27,64,4686,2625,28341,5657]"
3851,"[628,220,220,220,1279,38148,347,12532,1137,2625,16,1,370,2389,4221,2625,3064,39658,18671,3069,47,29266,2751,2625,18,1,18671,3069,4303,2246,2751,2625,15,1,35683,44,13153,2625,5320,198,220,220,220,1279,5446,347,15916,3535,1581,25698]"
7094,"[779,262,2524,11,345,4236,284,262,779,286,14746,13,517,1321,198,198,464,19751,6460,319,428,3052,389,900,284,366,12154,14746,1,284,1577,345,262,1266,23182,1998,1744,13,1002,345,2555,284,779,428,3052,1231,5609,534,19751,6460]"
5375,"[9,59,9,59,9,59,9,59,9,59,9,59,9,59,9,59,9,59,9,59,9,59,9,59,9,59,9,59,9,59,9,59,9,59,9,59,9,59,9,59,9,59,9,59,9,59,9,59,9,59]"
5293,"[58,1065,457,60,90,1084,4402,92,198,59,1904,26495,90,4105,11018,92,198,59,1904,26495,90,9776,893,4948,92,220,198,59,1904,26495,90,4105,10331,82,92,220,198,59,1904,26495,90,321,824,88,2022,92,220,198,59,1904]"
8732,"[5390,11,41755,11335,10979,198,13,7879,3963,28932,2257,2043,37780,21090,50,6375,49254,26,406,18420,3963,23210,11,42865,11,6375,4810,19238,29722,26,198,13,7879,6375,43949,44180,23255,49,8577,24131,8,29630,36,5959,7257,2937,1961,5357,6177,15529]"
